Title,Author,length
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Why I Stand,By: Jonathan Isaac,Length: 4 hrs and 29 mins
Glad You're Here,"By: Walker Hayes, Craig Allen Cooper",Length: 4 hrs and 20 mins
Six Graves,By: Angela Marsons,Length: 8 hrs and 33 mins
Gleam,By: Raven Kennedy,Length: 21 hrs and 1 min
Equatorial,By: Ryan DeBruyn,Length: 13 hrs and 47 mins
Death,By: Laura Thalassa,Length: 15 hrs and 30 mins
The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
Here's the Deal,By: Kellyanne Conway,Length: 19 hrs and 58 mins
The End of the World Is Just the Beginning,By: Peter Zeihan,Length: 14 hrs and 45 mins
The Hourglass Throne,By: K. D. Edwards,Length: 14 hrs and 19 mins
How to Be a Boss B*tch,"By: Christine Quinn, Rachel Holtzman",Length: 7 hrs and 43 mins
Of Claws and Fangs,By: Faith Hunter,Length: 14 hrs and 14 mins
City of Scars,By: JD Kirk,Length: 11 hrs and 23 mins
Air Awakens: The Complete Series,By: Elise Kova,Length: 60 hrs and 11 mins
Boyfriend Goals,By: Riley Hart,Length: 7 hrs and 38 mins
Fin,By: Jude Angelini,Length: 3 hrs and 50 mins
Eat for Energy,"By: Ari Whitten, Alex Leaf MS",Length: 7 hrs and 27 mins
Insight,By: Jay Boyce,Length: 13 hrs and 6 mins
If I Don't Ask,By: E.J. Noyes,Length: 11 hrs and 11 mins
